frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,28,16,-1,361.997,-2779.861,-43.381,1093661.692,4351714.225,18.450734253,18.346169209,77.401441934,-2526.529,3953.23,2536.90,988.31,634.22,-2.050,0.407,-170.382,0.083884425,0.002039399,0.018125556,-0.996308565,3394505.755,3391979.225,717104029,565
ROVER,28,22,-1,361.526,-2779.953,-43.385,1093661.221,4351714.133,18.450726308,18.346169209,77.401440293,-2526.525,3955.12,2536.53,988.78,634.13,-1.273,4.233,-170.643,0.081915908,0.035896655,0.014074081,-0.995893121,3394505.755,3391979.230,717104063,565
SITE,29,-1,-1,361.526,-2779.953,-43.385,1093661.221,4351714.133,18.450726308,18.346169209,77.401440293,-2526.525,3955.12,2536.53,988.78,634.13,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394505.755,3391979.230,717106034,565
ROVER,29,6,-1,361.526,-2779.953,-43.383,1093661.221,4351714.133,18.450726305,18.346169209,77.401440300,-2526.527,3955.12,2536.53,988.78,634.13,-3.324,0.122,159.411,0.178598080,-0.006232579,-0.028345829,0.983494000,3394505.755,3391979.228,719496775,592
ROVER,29,12,-1,361.616,-2779.936,-43.402,1093661.311,4351714.150,18.450727834,18.346169209,77.401440605,-2526.508,3954.75,2536.60,988.69,634.15,-3.301,-0.848,145.057,0.300301969,-0.001593654,-0.029695859,0.953380466,3394505.755,3391979.247,719496811,592
ROVER,29,18,-1,367.462,-2784.076,-43.609,1093667.157,4351710.010,18.450826455,18.346169209,77.401366966,-2526.301,3931.37,2520.04,982.84,630.01,-0.588,-1.310,144.308,0.306487830,0.009307147,-0.008389591,0.951792100,3394505.743,3391979.442,719497041,592
ROVER,29,24,-1,368.221,-2784.604,-43.568,1093667.916,4351709.482,18.450839254,18.346169209,77.401357578,-2526.342,3928.34,2517.93,982.08,629.48,-0.447,0.546,144.532,0.304578215,-0.005723430,-0.002268084,0.952467442,3394505.739,3391979.397,719497072,592
ROVER,29,30,-1,368.221,-2784.604,-43.568,1093667.916,4351709.482,18.450839255,18.346169209,77.401357577,-2526.342,3928.34,2517.93,982.08,629.48,0.255,0.218,147.837,0.277006030,-0.001208499,0.002660372,0.960863769,3394505.739,3391979.397,719497124,592
ROVER,29,34,-1,368.215,-2784.594,-43.562,1093667.910,4351709.492,18.450839149,18.346169209,77.401357754,-2526.348,3928.36,2517.97,982.09,629.49,0.095,0.145,147.340,0.281169832,-0.000985342,0.001149859,0.959656835,3394505.739,3391979.391,719497139,592
ROVER,29,40,-1,369.028,-2785.120,-43.557,1093668.723,4351708.966,18.450852870,18.346169209,77.401348392,-2526.353,3925.11,2515.86,981.28,628.97,0.963,0.828,147.144,0.282850057,-0.004553122,0.010101373,0.959100127,3394505.739,3391979.386,719497188,592
ROVER,29,46,-1,369.015,-2785.103,-43.573,1093668.710,4351708.983,18.450852659,18.346169209,77.401348710,-2526.337,3925.16,2515.93,981.29,628.98,1.399,0.821,177.130,0.025124384,-0.006859546,0.012382858,0.999584100,3394505.739,3391979.402,719497273,592
ROVER,29,52,-1,376.617,-2785.385,-43.646,1093676.312,4351708.701,18.450980902,18.346169209,77.401343685,-2526.264,3894.75,2514.80,973.69,628.70,-1.733,-2.060,-178.680,0.011246579,-0.018144293,0.014911192,-0.999660900,3394505.724,3391979.460,719497507,592
ROVER,29,58,-1,378.455,-2785.307,-43.743,1093678.150,4351708.779,18.451011911,18.346169209,77.401345074,-2526.167,3887.40,2515.12,971.85,628.78,-4.040,-4.996,-177.780,0.017802024,-0.044228792,0.034361061,-0.998271644,3394505.721,3391979.554,719497561,592
ROVER,29,64,-1,378.434,-2785.298,-43.743,1093678.129,4351708.788,18.451011549,18.346169209,77.401345231,-2526.167,3887.49,2515.15,971.87,628.79,-4.024,-5.245,177.767,0.021062834,0.045038193,-0.035952944,0.998115900,3394505.721,3391979.553,719498103,592
ROVER,29,70,-1,386.356,-2785.521,-43.832,1093686.051,4351708.565,18.451145200,18.346169209,77.401341262,-2526.078,3855.80,2514.26,963.95,628.56,-5.748,-1.665,176.768,0.028891490,0.013092048,-0.050525880,0.998218900,3394505.703,3391979.626,719498350,592
